,gift_id,gift_type,gift_category,gift_cluster,lsg_1,lsg_2,lsg_3,lsg_4,lsg_5,lsg_6,is_discounted,price
34,10617,1131,822,0,8100,6223,6381,1912,9,1836,0,60.19
35,14603,462,221,3718,4998,4805,2865,1912,10,1673,0,70.15
36,14600,462,221,3718,4998,4805,2865,1912,9,1673,0,74.06
37,14601,462,221,3718,4998,4805,2865,1912,9,1673,0,71.52
38,14602,462,221,3718,4998,4805,2865,1912,10,1673,0,62.66
39,2978,973,370,0,6948,4048,5463,1912,9,1899,0,120.71
40,2972,973,370,0,6948,4048,5463,1912,9,1899,0,122.31
41,13456,553,590,6910,5130,6701,8149,1912,9,1913,0,190.07
42,2973,973,370,0,6948,4048,5463,1912,9,1899,0,136.73
43,2971,973,370,0,6948,4048,5463,1912,9,1899,0,122.97
44,13457,553,590,6910,5130,6701,8149,1912,1,1913,0,193.87
45,2969,973,370,0,6948,4048,5463,1912,9,1899,0,128.05
46,2979,973,370,0,6948,4048,5463,1912,9,1899,0,120.46
47,13459,553,590,6910,5130,6701,8149,1912,9,1913,0,138.13
48,8187,1248,180,0,8525,7481,7025,1912,9,1899,0,8.94
49,2977,973,370,0,6948,4048,5463,1912,9,1899,0,112.73
50,2967,973,370,0,6948,4048,5463,1912,9,1899,0,126.89
51,2968,973,370,0,6948,4048,5463,1912,9,1899,0,134.68
52,2970,973,370,0,6948,4048,5463,1912,9,1899,0,128.05
53,2980,973,370,0,6948,4048,5463,1912,9,1899,0,134.55
54,13458,553,590,6910,5130,6701,8149,1912,1,1913,0,197.0
55,2966,973,370,0,6948,4048,5463,1912,9,1899,0,114.31
56,2976,973,370,0,6948,4048,5463,1912,9,1899,0,134.03
57,2975,973,370,0,6948,4048,5463,1912,9,1899,0,122.79
58,2974,973,370,0,6948,4048,5463,1912,9,1899,0,137.92
59,13791,973,282,2692,6889,4094,5455,411,9,290,0,104.72
60,13646,553,590,6868,5132,6699,3048,1834,9,1645,0,153.12
61,13639,553,590,6868,5132,6699,3048,1730,9,1645,0,147.53
62,13650,553,590,6868,5132,6699,3048,1891,9,1645,0,128.46
63,13647,553,590,6868,5132,6699,3048,1849,9,1645,0,157.38
64,13790,973,282,2692,6889,4094,5455,410,9,290,0,113.2
65,13794,973,282,2692,6889,4094,5455,415,9,290,0,98.92
66,13648,553,590,6868,5132,6699,3048,1863,9,1645,0,143.26
67,13638,553,590,6868,5132,6699,3048,1709,9,1645,0,146.99
68,13642,553,590,6868,5132,6699,3048,1776,9,1645,0,129.36
69,13649,553,590,6868,5132,6699,3048,1877,9,1645,0,132.42
70,13799,973,282,2692,6889,4094,5455,406,9,290,0,110.75
71,13789,973,282,2692,6889,4094,5455,409,9,290,0,108.22
72,13795,973,282,2692,6889,4094,5455,424,9,290,0,110.77
73,13637,553,590,6868,5132,6699,3048,1891,9,1645,0,137.34
74,13634,553,590,6868,5132,6699,3048,1891,9,1645,0,181.54
75,21638,462,223,200,4994,3292,2864,409,9,548,0,119.27
76,21641,462,223,200,4994,3292,2864,409,9,548,0,105.04
77,13636,553,590,6868,5132,6699,3048,1891,9,1645,0,179.35
78,13651,553,590,6868,5132,6699,3048,1891,9,1645,0,157.84
79,13640,553,590,6868,5132,6699,3048,1768,9,1645,0,146.55
80,13643,553,590,6868,5132,6699,3048,1791,9,1645,0,148.98
81,13641,553,590,6868,5132,6699,3048,1773,9,1645,0,135.24
82,13797,973,282,2692,6889,4094,5455,406,9,290,0,95.06
83,13798,973,282,2692,6889,4094,5455,406,9,290,0,103.55
84,13796,973,282,2692,6889,4094,5455,429,9,290,0,111.0
85,13633,553,590,6868,5132,6699,3048,1891,1,1645,0,198.25
86,21639,462,223,200,4994,3292,2864,409,9,548,0,104.24
87,13645,553,590,6868,5132,6699,3048,1820,9,1645,0,147.59
88,13635,553,590,6868,5132,6699,3048,1891,9,1645,0,196.32
89,13793,973,282,2692,6889,4094,5455,413,9,290,0,112.19
90,13792,973,282,2692,6889,4094,5455,412,9,290,0,108.96
91,21637,462,223,200,4994,3292,2864,409,9,548,0,121.66
92,21640,462,223,200,4994,3292,2864,409,9,548,0,96.81
93,13644,553,590,6868,5132,6699,3048,1806,9,1645,0,140.87
94,12870,1282,38,0,8697,3619,3740,1912,9,254,0,97.25
95,12872,1282,38,0,8697,3619,3740,1912,9,254,0,105.22
96,12871,1282,38,0,8697,3619,3740,1912,9,254,0,94.93
97,18668,1133,450,5085,8104,1502,8815,1767,9,978,0,99.04
98,18672,1133,450,5085,8104,1502,8815,1873,9,978,0,82.77
99,18665,1133,450,5085,8104,1502,8815,1873,9,978,0,112.13
100,18670,1133,450,5085,8104,1502,8815,1816,9,978,0,87.58
101,20777,996,627,0,7327,5795,5588,1912,9,2047,0,73.91
102,20779,996,627,0,7327,5795,5588,1912,9,2047,0,68.39
103,20778,996,627,0,7327,5795,5588,1912,9,2047,0,82.41
104,20780,996,627,0,7327,5795,5588,1912,9,2047,0,63.6
105,11073,196,281,0,3941,3609,1419,1912,9,1399,0,51.58
106,18667,1133,450,5085,8104,1502,8815,1726,9,978,0,86.32
107,18671,1133,450,5085,8104,1502,8815,1845,9,978,0,91.09
108,18669,1133,450,5085,8104,1502,8815,1786,9,978,0,94.77
109,18666,1133,450,5085,8104,1502,8815,1705,9,978,0,90.45
110,752,896,885,0,6539,2158,4983,1912,9,757,0,160.63
111,754,896,885,0,6539,2158,4983,1912,9,757,0,180.57
112,751,896,885,0,6539,2158,4983,1912,9,757,0,196.51
113,753,896,885,0,6539,2158,4983,1912,9,757,0,397.78
114,755,896,885,0,6539,2158,4983,1912,9,757,0,150.4
115,750,896,885,0,6539,2158,4983,1912,9,757,0,409.02
116,756,896,885,0,6539,2158,4983,1912,9,757,0,168.88
117,2106,1173,445,7072,2595,157,6869,1912,10,630,0,95.28
118,19374,1050,43,0,7601,6436,5865,1912,9,1899,0,86.62
119,2119,1173,445,7072,2595,157,6869,1912,10,630,0,82.69
120,2111,1173,445,7072,2595,157,6869,1912,10,630,0,74.15
121,2117,1173,445,7072,2595,157,6869,1912,10,630,0,74.12
122,2112,1173,445,7072,2595,157,6869,1912,10,630,0,69.82
123,2126,1173,445,7072,2595,157,6869,1912,10,630,0,42.4
124,2108,1173,445,7072,2595,157,6869,1912,10,630,0,79.78
125,19373,1050,43,0,7601,6436,5865,1912,9,1899,0,93.87
126,19381,1050,43,0,7601,6436,5865,1912,9,1899,0,84.69
127,19367,1050,43,0,7601,6436,5865,1912,9,1899,0,97.57
128,19384,1050,43,0,7601,6436,5865,1912,9,1899,0,83.8
129,19375,1050,43,0,7601,6436,5865,1912,9,1899,0,108.46
130,19391,1050,43,0,7601,6436,5865,1912,9,1899,0,88.68
131,2125,1173,445,7072,2595,157,6869,1912,10,630,0,80.06
132,19372,1050,43,0,7601,6436,5865,1912,9,1899,0,88.44
133,2114,1173,445,7072,2595,157,6869,1912,10,630,0,87.28
134,2123,1173,445,7072,2595,157,6869,1912,10,630,0,88.01
135,19390,1050,43,0,7601,6436,5865,1912,9,1899,0,84.95
136,2113,1173,445,7072,2595,157,6869,1912,10,630,0,86.62
137,19370,1050,43,0,7601,6436,5865,1912,9,1899,0,95.21
138,19378,1050,43,0,7601,6436,5865,1912,9,1899,0,88.57
139,19389,1050,43,0,7601,6436,5865,1912,9,1899,0,99.59
140,867,863,23,389,6147,3771,4420,1912,9,150,0,626.75
141,2116,1173,445,7072,2595,157,6869,1912,10,630,0,96.71
142,19387,1050,43,0,7601,6436,5865,1912,9,1899,0,86.36
143,2110,1173,445,7072,2595,157,6869,1912,10,630,0,81.1
144,19379,1050,43,0,7601,6436,5865,1912,9,1899,0,93.0
145,2104,1173,445,7072,2595,157,6869,1912,10,630,0,88.86
146,19368,1050,43,0,7601,6436,5865,1912,9,1899,0,88.13
147,868,863,23,389,6147,3771,4420,1912,9,150,0,582.58
148,19369,1050,43,0,7601,6436,5865,1912,9,1899,0,89.23
149,19376,1050,43,0,7601,6436,5865,1912,9,1899,0,95.44
150,2122,1173,445,7072,2595,157,6869,1912,10,630,0,79.12
151,2105,1173,445,7072,2595,157,6869,1912,10,630,0,87.59
152,2109,1173,445,7072,2595,157,6869,1912,10,630,0,77.8
153,19377,1050,43,0,7601,6436,5865,1912,9,1899,0,117.88
154,2115,1173,445,7072,2595,157,6869,1912,10,630,0,76.02
155,2118,1173,445,7072,2595,157,6869,1912,9,630,1,56.11
156,2107,1173,445,7072,2595,157,6869,1912,10,630,0,87.21
157,19382,1050,43,0,7601,6436,5865,1912,9,1899,0,83.22
158,866,863,23,389,6147,3771,4420,1912,9,150,0,573.16
159,19388,1050,43,0,7601,6436,5865,1912,9,1899,0,84.67
160,19371,1050,43,0,7601,6436,5865,1912,9,1899,0,117.79
161,19366,1050,43,0,7601,6436,5865,1912,9,1899,0,98.39
162,19383,1050,43,0,7601,6436,5865,1912,9,1899,0,86.3
163,2121,1173,445,7072,2595,157,6869,1912,10,630,0,76.28
164,2124,1173,445,7072,2595,157,6869,1912,10,630,0,71.9
165,19386,1050,43,0,7601,6436,5865,1912,9,1899,0,85.04
166,2120,1173,445,7072,2595,157,6869,1912,10,630,0,73.95
167,19385,1050,43,0,7601,6436,5865,1912,9,1899,0,87.62
168,19380,1050,43,0,7601,6436,5865,1912,9,1899,0,81.29
169,1115,18,885,0,3445,1349,781,1912,9,1579,0,169.04
170,1118,18,885,0,3445,1349,781,1912,9,1579,0,155.44
171,1116,18,885,0,3445,1349,781,1912,9,1579,0,169.96
172,1117,18,885,0,3445,1349,781,1912,9,1579,0,166.88
173,1119,18,885,0,3445,1349,781,1912,9,1579,0,157.53
174,1114,18,885,0,3445,1349,781,1912,9,1579,0,142.09
175,1120,18,885,0,3445,1349,781,1912,9,1579,0,139.07
176,1113,18,885,0,3445,1349,781,1912,9,1579,0,151.22
177,7752,1113,433,4603,814,1261,669,1912,10,1492,0,65.58
178,7757,1113,433,4603,814,1261,669,1912,10,1492,0,45.51
179,5297,1197,890,393,8266,7088,6622,1912,10,1899,0,156.92
180,5295,1197,890,393,8266,7088,6622,1912,10,1899,0,4903.18
181,5298,1197,890,393,8266,7088,6622,1912,9,1899,0,126.09
182,7756,1113,433,4603,814,1261,669,1912,9,1492,1,52.24
183,7754,1113,433,4603,814,1261,669,1912,10,1492,0,54.56
184,10734,391,624,7563,4601,5097,2250,1912,9,1899,0,103.78
185,7755,1113,433,4603,814,1261,669,1912,10,1492,1,45.47
186,10733,391,624,7563,4601,5097,2250,1912,9,1899,0,89.84
187,5296,1197,890,393,8266,7088,6622,1912,10,1899,0,4537.88
188,7753,1113,433,4603,814,1261,669,1912,10,1492,0,62.27
189,8137,885,889,0,76,6883,4562,1010,9,1899,0,97.88
190,8140,885,889,0,76,6883,4562,1912,9,1899,1,93.31
191,8142,885,889,0,76,6883,4562,1010,9,1899,1,37.99
192,8139,885,889,0,76,6883,4562,1974,9,1899,0,90.93
193,8141,885,889,0,76,6883,4562,1010,9,1899,1,48.75
194,8143,885,889,0,76,6883,4562,1010,9,1899,1,31.56
195,8138,885,889,0,76,6883,4562,1010,9,1899,0,98.9
196,9545,129,534,4243,3530,4117,872,1912,10,1899,1,81.19
197,9544,129,534,4243,3530,4117,872,1912,10,1899,0,227.68
198,7267,815,215,4024,5962,912,5400,1912,10,1899,0,150.21
199,8486,72,883,49,3410,7517,730,1959,10,1931,0,59.99
200,22410,843,884,74,501,4388,4378,590,10,910,0,44.78
201,22412,843,884,74,501,4388,4378,590,10,910,1,32.74
202,22413,843,884,74,501,4388,4378,590,10,910,1,23.46
203,7268,815,215,4024,5962,912,5400,1912,10,1899,0,162.46
204,7266,815,215,4024,5962,912,5400,1912,10,1899,0,146.37
205,22411,843,884,74,501,4388,4378,590,10,910,0,45.74
206,23994,173,182,5318,3829,6242,1274,1912,10,1516,1,108.09
207,15908,18,891,7565,3492,6638,807,1912,9,1899,0,246.96
208,17780,173,182,0,3839,6235,1279,1912,9,1879,0,57.47
209,17781,173,182,0,3839,6235,1279,1912,9,1879,0,61.11
210,17785,173,182,0,3839,6235,1279,1912,9,1879,0,60.45
211,17772,173,182,0,3839,6235,1279,1912,9,1879,0,56.0
212,17792,173,182,0,3839,6235,1279,1912,9,1879,0,50.68
213,20070,365,25,0,4487,1692,2162,1912,9,1899,1,54.17
214,17789,173,182,0,3839,6235,1279,1912,9,1879,0,59.4
215,17776,173,182,0,3839,6235,1279,1912,9,1879,0,44.44
216,17773,173,182,0,3839,6235,1279,1912,9,1879,0,56.6
217,17782,173,182,0,3839,6235,1279,1912,9,1879,0,64.38
218,17786,173,182,0,3839,6235,1279,1912,9,1879,0,66.16
219,13024,896,892,4949,6497,2530,4822,1912,10,1899,0,206.57
220,17790,173,182,0,3839,6235,1279,1912,9,1879,0,50.82
221,20069,365,25,0,4487,1692,2162,1912,9,1899,0,56.54
222,17784,173,182,0,3839,6235,1279,1912,9,1879,0,58.74
223,17774,173,182,0,3839,6235,1279,1912,9,1879,0,60.72
224,956,896,30,0,6503,2200,4837,1912,9,1899,0,101.88
225,23996,173,182,5318,3829,6242,1274,1912,9,1516,0,125.61
226,17787,173,182,0,3839,6235,1279,1912,9,1879,0,56.02
227,20071,365,25,0,4487,1692,2162,1912,9,1899,0,60.99
228,23995,173,182,5318,3829,6242,1274,1912,9,1516,0,103.17
229,17788,173,182,0,3839,6235,1279,1912,9,1879,0,52.35
230,17791,173,182,0,3839,6235,1279,1912,9,1879,0,50.35
231,23993,173,182,5318,3829,6242,1274,1912,10,1516,0,168.3
232,17783,173,182,0,3839,6235,1279,1912,9,1879,0,65.56
233,17778,173,182,0,3839,6235,1279,1912,9,1879,0,52.23
234,17777,173,182,0,3839,6235,1279,1912,9,1879,0,41.71
235,20073,365,25,0,4487,1692,2162,1912,9,1899,0,59.77
236,20072,365,25,0,4487,1692,2162,1912,9,1899,0,53.42
237,17775,173,182,0,3839,6235,1279,1912,9,1879,0,58.7
238,17779,173,182,0,3839,6235,1279,1912,9,1879,0,50.59
239,12581,896,38,0,6505,2460,4840,1912,9,1899,1,132.74
240,3746,896,885,0,6519,2163,4896,1912,9,1899,0,293.67
241,954,896,30,0,6503,2200,4837,1912,9,1899,0,102.96
242,13025,896,892,4949,6497,2530,4822,1912,9,1899,0,268.9
243,3747,896,885,0,6519,2163,4896,1912,9,1899,0,306.32
244,955,896,30,0,6503,2200,4837,1912,9,1899,0,98.14
245,12580,896,38,0,6505,2460,4840,1912,9,1899,0,152.51
246,13991,1036,893,50,7547,2405,5804,1562,10,1801,0,200.16
247,13989,1036,893,50,7547,2405,5804,1562,10,1801,0,210.83
248,13990,1036,893,50,7547,2405,5804,1562,10,1801,0,197.87
249,2860,759,119,166,5855,7428,3927,465,9,381,0,63.06
250,20323,1111,493,6865,7736,937,8736,406,9,150,0,83.57
251,6477,660,305,2689,5565,5383,3527,1268,9,396,0,54.71
252,6494,660,305,2689,5565,5383,3527,1440,9,396,0,49.69
253,6493,660,305,2689,5565,5383,3527,1267,9,396,0,42.84
254,19551,973,282,6564,6878,3781,8514,1760,9,1899,0,66.16
255,16125,399,295,3787,9142,1573,7972,1766,9,1913,0,67.05
256,239,660,116,260,5543,6408,3541,1086,9,391,0,41.79
257,226,660,116,260,5543,6408,3541,625,9,391,0,48.61
258,15236,415,450,3280,4689,4404,7995,1774,9,932,0,65.21
259,18699,399,282,2643,4617,963,7983,1549,9,1778,0,85.44
260,16050,992,580,6489,9432,7186,8539,1733,9,1913,0,95.5
261,16040,992,580,6489,9432,7186,8539,1712,9,1913,0,97.27
262,15616,660,86,288,5558,4032,3505,613,9,365,0,50.99
263,7223,344,568,6855,9063,205,7811,406,10,357,0,39.37
264,9479,75,122,153,8950,2390,8999,1802,9,280,0,141.62
265,23865,467,302,2553,8263,4657,6617,981,9,837,0,35.02
266,3954,11,66,262,3205,2567,3550,417,9,386,0,35.54
267,4198,759,136,264,5858,7253,3929,196,9,150,0,71.95
268,4199,759,136,264,5858,7253,3929,114,9,150,0,74.65
269,886,464,299,6604,9171,5403,8030,381,9,63,0,81.11
270,12809,759,574,6957,5848,7311,3925,1912,9,957,0,42.9
271,6556,399,461,6863,4614,572,7969,1806,9,1252,0,66.44
272,6566,399,461,6863,4614,572,7969,1891,9,1252,0,70.86
273,24,759,119,274,5857,7255,3930,591,9,921,0,72.3
274,16830,176,563,6848,3849,5232,1295,1337,9,1636,0,25.15
275,4459,31,144,218,8928,4399,7572,406,9,294,0,101.6
276,21822,660,305,2693,5574,6407,3540,1446,9,325,0,53.49
277,21802,660,305,2693,5574,6407,3540,441,9,325,0,55.82
278,5480,349,292,3370,9085,4315,7852,1912,9,1778,0,127.43
279,17276,399,461,6863,4615,572,7969,1830,9,1455,0,77.07
280,17258,399,461,6863,4615,572,7969,1186,1,1455,0,93.81
281,19172,992,472,6491,9435,7174,8543,1857,9,1689,0,90.54
282,3726,97,464,6975,8952,3176,7618,889,9,64,0,116.36
283,3723,97,464,6975,8952,3176,7618,869,9,64,0,138.29
284,5877,257,282,3714,4145,5476,1736,1024,9,1256,0,64.04
285,6479,660,305,2689,5565,5383,3527,1971,9,396,0,54.75
286,6496,660,305,2689,5565,5383,3527,1448,9,396,0,46.96
287,6470,660,305,2689,5565,5383,3527,1967,9,396,0,51.51
288,19263,660,305,3424,5563,5348,3520,1266,9,319,0,49.98
289,19276,660,305,3424,5563,5348,3520,1456,9,319,0,42.17
290,19269,660,305,3424,5563,5348,3520,1453,9,319,0,50.93
291,19264,660,305,3424,5563,5348,3520,1270,9,319,0,44.51
292,12428,759,136,967,5845,7254,3930,1060,9,1309,0,103.63
293,19548,973,282,6564,6878,3781,8514,1726,9,1899,0,64.4
294,16129,399,295,3787,9142,1573,7972,1813,9,1913,0,61.7
295,219,660,116,260,5543,6408,3541,1061,9,391,0,49.59
296,207,660,116,260,5543,6408,3541,612,9,391,0,54.1
297,212,660,116,260,5543,6408,3541,598,9,391,0,51.7
298,231,660,116,260,5543,6408,3541,1068,9,391,0,45.02
299,15234,415,450,3280,4689,4404,7995,1748,9,932,0,60.17
300,15138,374,57,2638,4534,2680,2202,592,9,365,0,45.0
301,12368,176,565,6847,3848,5231,1296,2049,9,517,0,27.8
302,18493,374,569,6845,4535,4018,2203,566,9,813,0,41.7
303,16060,992,580,6489,9432,7186,8539,1794,9,1913,0,98.39
304,16049,992,580,6489,9432,7186,8539,1732,9,1913,0,93.63
305,12968,1111,477,1855,9498,1362,8678,1816,9,192,0,51.12
306,12970,1111,477,1855,9498,1362,8678,1873,9,192,0,51.54
307,18456,741,573,7003,5755,6444,3803,406,9,150,0,29.78
308,15618,660,86,288,5558,4032,3505,444,9,365,0,46.6
309,2952,1111,476,1790,9510,946,8701,406,9,150,0,81.3
310,23859,467,302,2553,8263,4657,6617,562,9,837,0,33.59
311,18694,992,593,6858,9429,7114,8534,1912,9,746,0,138.35
312,4102,1060,257,6598,7700,5983,6010,1644,9,609,0,42.82
313,12806,759,574,6957,5848,7311,3925,1912,9,957,0,53.03
314,12810,759,574,6957,5848,7311,3925,1912,10,957,0,37.52
315,15670,208,485,6486,9007,873,7713,1912,9,1616,0,34.65
316,20210,480,580,6864,9198,2227,8071,1730,9,1913,0,49.65
317,20629,727,89,99,9296,5877,8282,591,9,937,0,46.84
318,15485,760,323,2717,9327,5278,8335,1912,9,1899,0,50.49
319,16833,176,563,6848,3849,5232,1295,1335,9,1636,0,23.4
320,4458,31,144,218,8928,4399,7572,406,9,294,1,103.13
321,21843,660,305,2693,5574,6407,3540,1652,9,325,0,42.4
322,19139,992,472,6491,9435,7174,8543,1723,9,1689,0,86.03
323,16745,908,14,7428,4339,559,1954,1912,9,279,0,119.44
324,9018,399,296,2646,9144,1475,7975,1626,9,1854,0,109.61
325,9025,399,296,2646,9144,1475,7975,1626,9,1854,0,82.84
326,20324,1111,493,6865,7736,937,8736,1912,9,150,1,79.46
327,6487,660,305,2689,5565,5383,3527,1972,9,396,0,46.84
328,19274,660,305,3424,5563,5348,3520,399,9,319,0,41.87
329,12427,759,136,967,5845,7254,3930,156,9,1309,0,108.27
330,17546,464,282,2636,4825,3701,8017,1816,9,1081,0,37.91
331,246,660,116,260,5543,6408,3541,446,9,391,1,32.53
332,206,660,116,260,5543,6408,3541,600,9,391,0,45.12
333,200,660,116,260,5543,6408,3541,446,9,391,1,55.67
334,250,660,116,260,5543,6408,3541,446,9,391,1,32.65
335,21754,1111,477,3423,9528,1810,8734,406,9,434,0,61.58
336,15226,415,450,3280,4689,4404,7995,381,9,932,0,72.44
337,15254,415,450,3280,4689,4404,7995,1859,9,932,0,70.5
338,15262,415,450,3280,4689,4404,7995,1888,9,932,0,67.86
339,18698,399,282,2643,4617,963,7983,1549,9,1778,0,79.44
340,6907,707,450,6555,9301,3762,8274,908,9,921,0,151.28
341,17568,903,97,192,9385,7208,8437,1845,9,582,0,51.35
342,18487,374,569,6845,4535,4018,2203,1060,9,813,0,73.97
343,16076,992,580,6489,9432,7186,8539,1849,9,1913,0,90.3
344,16053,992,580,6489,9432,7186,8539,1750,9,1913,0,92.28
345,12969,1111,477,1855,9498,1362,8678,1845,9,192,0,51.48
346,4317,568,85,189,5221,5038,3135,450,9,82,0,66.29
347,22790,759,136,133,5844,7250,3923,419,9,367,0,70.03
348,23866,467,302,2553,8263,4657,6617,982,9,837,0,35.82
349,17962,432,298,2537,4786,1671,2568,1446,9,1689,0,77.29
350,6548,399,461,6863,4614,572,7969,1705,9,1252,0,71.5
351,16832,176,563,6848,3849,5232,1295,1325,9,1636,0,25.14
352,4460,31,144,218,8928,4399,7572,1912,9,294,0,90.64
353,21844,660,305,2693,5574,6407,3540,1456,9,325,0,49.26
354,21842,660,305,2693,5574,6407,3540,1448,9,325,0,50.31
355,21818,660,305,2693,5574,6407,3540,557,9,325,0,47.85
356,21848,660,305,2693,5574,6407,3540,552,9,325,0,37.57
357,22393,360,503,3812,4469,4647,7900,406,9,150,1,69.66
358,17281,399,461,6863,4615,572,7969,1873,9,1455,0,67.63
359,19154,992,472,6491,9435,7174,8543,1799,9,1689,0,75.11
360,19168,992,472,6491,9435,7174,8543,1853,9,1689,0,91.95
361,19160,992,472,6491,9435,7174,8543,1825,9,1689,0,79.46
362,1974,741,563,7001,5751,6297,3808,231,9,835,0,10.96
363,1969,741,563,7001,5751,6297,3808,1407,9,835,0,17.51
364,3722,97,464,6975,8952,3176,7618,920,9,64,0,141.99
365,16750,908,14,7428,4339,559,1954,433,9,279,0,100.29
366,16743,908,14,7428,4339,559,1954,433,9,279,0,133.91
367,20328,1111,493,6865,7736,937,8736,1912,9,150,0,55.55
368,6469,660,305,2689,5565,5383,3527,419,9,396,0,55.14
369,19265,660,305,3424,5563,5348,3520,1446,9,319,0,45.63
370,19267,660,305,3424,5563,5348,3520,1449,9,319,0,44.41
371,17545,464,282,2636,4825,3701,8017,770,9,1081,0,49.71
372,247,660,116,260,5543,6408,3541,1081,9,391,0,38.46
373,21761,1111,477,3423,9528,1810,8734,1820,9,434,0,61.34
374,15222,415,450,3280,4689,4404,7995,381,9,932,1,88.23
375,15259,415,450,3280,4689,4404,7995,1877,9,932,0,65.56
376,17556,903,97,192,9385,7208,8437,469,9,582,1,69.57
377,16078,992,580,6489,9432,7186,8539,1852,9,1913,0,103.18
378,16063,992,580,6489,9432,7186,8539,1808,9,1913,0,90.56
379,16039,992,580,6489,9432,7186,8539,1711,9,1913,0,106.4
380,16087,992,580,6489,9432,7186,8539,1879,9,1913,0,95.4
381,7216,344,568,6855,9063,205,7811,1845,9,357,0,47.18
382,2712,432,75,236,4752,556,2566,623,9,921,0,97.71
383,23868,467,302,2553,8263,4657,6617,2006,9,837,0,33.89
384,23863,467,302,2553,8263,4657,6617,979,9,837,0,35.91
385,894,464,299,6604,9171,5403,8030,1873,9,63,0,63.44
386,4099,1060,257,6598,7700,5983,6010,1644,9,609,1,59.13
387,4107,1060,257,6598,7700,5983,6010,1407,9,609,0,34.28
388,15182,399,295,3377,4618,1182,7970,1882,9,150,0,72.86
389,15152,399,295,3377,4618,1182,7970,1885,9,150,0,97.51
390,3714,464,299,2626,4827,4593,8027,1439,9,1689,0,55.85
391,16317,399,282,3820,4616,834,7973,1885,9,1778,0,73.99
392,20628,727,89,99,9296,5877,8282,591,9,937,0,44.49
393,19136,992,472,6491,9435,7174,8543,1701,9,1689,0,86.01
394,19142,992,472,6491,9435,7174,8543,1742,9,1689,0,78.24
395,1971,741,563,7001,5751,6297,3808,1626,9,835,0,16.56
396,22860,970,314,2648,6865,3866,8483,1912,9,63,0,71.33
397,3724,97,464,6975,8952,3176,7618,873,9,64,0,123.0
398,7338,908,16,7438,6675,691,7594,1060,9,1309,0,108.07
399,9021,399,296,2646,9144,1475,7975,1626,9,1854,0,106.45
400,20325,1111,493,6865,7736,937,8736,1912,9,150,0,77.9
401,19273,660,305,3424,5563,5348,3520,1452,9,319,0,42.51
402,12426,759,136,967,5845,7254,3930,114,9,1309,0,116.55
403,19563,973,282,6564,6878,3781,8514,1873,9,1899,0,59.23
404,16130,399,295,3787,9142,1573,7972,1827,9,1913,0,56.44
405,204,660,116,260,5543,6408,3541,625,9,391,0,55.56
406,245,660,116,260,5543,6408,3541,446,9,391,1,41.18
407,21768,1111,477,3423,9528,1810,8734,1891,9,434,0,59.5
408,15238,415,450,3280,4689,4404,7995,1788,9,932,0,61.5
